symbol,strategy,initial_equity_krw,final_equity_krw,net_pnl_krw,return_pct,trades,wins,losses,win_rate_pct,profit_factor,average_win_krw,average_loss_krw,expectancy_per_trade_krw,maximum_drawdown_pct,maximum_consecutive_losses,total_fees_krw,estimated_slippage_krw,long,short,entry_stages_filled,exit_reasons,daily_stop_days,total_stop_triggered,cost_scenario
BTCUSDT,CURRENT_IMPROVED_SPLIT,300000.0,295374.1643740599,-4625.835625940119,-1.5419452086467111,10,2,8,20.0,0.08051061632293802,202.51940036745503,-628.8593033343724,-462.583562594007,-1.5419452086467063,4,1438.7494108142696,1798.4336390495446,"{'trades': 6, 'win_rate_pct': 16.666666666666664, 'net_pnl_krw': -2976.0843886285807}","{'trades': 4, 'win_rate_pct': 25.0, 'net_pnl_krw': -1649.751237311489}",{1: 10},{'STOP': 10},"['2026-06-19', '2026-06-23', '2026-07-10', '2026-07-15', '2026-07-20']",False,CONSERVATIVE
BTCUSDT,SELECTIVE_BREAKOUT_SPLIT,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,CONSERVATIVE
ETHUSDT,CURRENT_IMPROVED_SPLIT,300000.0,295112.74725049135,-4887.252749508654,-1.6290842498362212,17,6,11,35.294117647058826,0.4110103964340698,568.4060968953299,-754.3353937164167,-287.48545585344726,-1.8255967941959845,4,2555.845842935736,3194.809246324946,"{'trades': 15, 'win_rate_pct': 40.0, 'net_pnl_krw': -3496.4596407203185}","{'trades': 2, 'win_rate_pct': 0.0, 'net_pnl_krw': -1390.7931087882844}","{1: 16, 2: 1}","{'STOP': 16, 'TP3_4.0R': 1}","['2026-06-21', '2026-06-28', '2026-07-01', '2026-07-10', '2026-07-20', '2026-07-22']",False,CONSERVATIVE
ETHUSDT,SELECTIVE_BREAKOUT_SPLIT,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,CONSERVATIVE
SOLUSDT,CURRENT_IMPROVED_SPLIT,300000.0,295071.8270031001,-4928.172996899928,-1.6427243322999718,14,3,11,21.428571428571427,0.4365191784660094,1272.591095522251,-795.0860257697042,-352.01235692142825,-2.158904118866524,6,2087.5189591570556,2609.3981786206764,"{'trades': 11, 'win_rate_pct': 18.181818181818183, 'net_pnl_krw': -5000.655790587479}","{'trades': 3, 'win_rate_pct': 33.33333333333333, 'net_pnl_krw': 72.4827936874841}","{1: 13, 2: 1}","{'STOP': 13, 'TP3_4.0R': 1}","['2026-06-21', '2026-06-22', '2026-06-26', '2026-06-28', '2026-07-01', '2026-07-07', '2026-07-13']",False,CONSERVATIVE
SOLUSDT,SELECTIVE_BREAKOUT_SPLIT,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,CONSERVATIVE
XRPUSDT,CURRENT_IMPROVED_SPLIT,300000.0,299782.8970033594,-217.10299664060585,-0.07236766554686858,13,8,5,61.53846153846154,0.9548547690888923,573.985965798797,-961.7981446061971,-16.700230510816088,-1.0164718959046808,2,2088.1141002712684,2610.152707957677,"{'trades': 6, 'win_rate_pct': 66.66666666666666, 'net_pnl_krw': -98.13232528725517}","{'trades': 7, 'win_rate_pct': 57.14285714285714, 'net_pnl_krw': -118.97067135335404}","{2: 2, 1: 11}",{'STOP': 13},"['2026-06-22', '2026-06-28']",False,CONSERVATIVE
XRPUSDT,SELECTIVE_BREAKOUT_SPLIT,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,CONSERVATIVE
DOGEUSDT,CURRENT_IMPROVED_SPLIT,300000.0,294909.9110590108,-5090.088940989226,-1.6966963136630708,13,3,10,23.076923076923077,0.32155793856813686,804.1750357372915,-750.2614048201052,-391.54530315301366,-1.7226341930168425,4,2091.598188902504,2614.4968721419023,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 13, 'win_rate_pct': 23.076923076923077, 'net_pnl_krw': -5090.088940989179}","{1: 11, 2: 2}","{'STOP': 12, 'TP3_4.0R': 1}","['2026-06-23', '2026-06-24', '2026-06-26', '2026-07-08', '2026-07-09', '2026-07-13', '2026-07-24']",False,CONSERVATIVE
DOGEUSDT,SELECTIVE_BREAKOUT_SPLIT,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,CONSERVATIVE
BTCUSDT,CURRENT_IMPROVED_SPLIT,300000.0,292750.5038680243,-7249.496131975728,-2.4164987106585767,19,4,15,21.052631578947366,0.08771661909680807,174.26089967317645,-529.769315377904,-381.5524279987292,-2.416498710658576,5,1475.6002694656204,1229.6657551636893,"{'trades': 13, 'win_rate_pct': 23.076923076923077, 'net_pnl_krw': -4208.124675878805}","{'trades': 6, 'win_rate_pct': 16.666666666666664, 'net_pnl_krw': -3041.371456097049}","{1: 17, 2: 2}",{'STOP': 19},"['2026-06-19', '2026-06-24', '2026-06-26', '2026-06-28', '2026-07-04', '2026-07-10', '2026-07-12', '2026-07-15', '2026-07-19', '2026-07-20']",False,LOWER_FRICTION_SENSITIVITY
BTCUSDT,SELECTIVE_BREAKOUT_SPLIT,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,LOWER_FRICTION_SENSITIVITY
ETHUSDT,CURRENT_IMPROVED_SPLIT,300000.0,298961.4543794165,-1038.5456205835217,-0.3461818735278399,24,11,13,45.83333333333333,0.8769472171647724,672.8448120060393,-649.218350203851,-43.27273419098456,-1.28737554847169,4,1892.4205910419748,1577.0177669246398,"{'trades': 21, 'win_rate_pct': 47.61904761904761, 'net_pnl_krw': 822.6302288627727}","{'trades': 3, 'win_rate_pct': 33.33333333333333, 'net_pnl_krw': -1861.1758494464023}","{1: 21, 2: 3}","{'STOP': 23, 'TP3_4.0R': 1}","['2026-06-21', '2026-06-28', '2026-06-29', '2026-07-10', '2026-07-19', '2026-07-20', '2026-07-22']",False,LOWER_FRICTION_SENSITIVITY
ETHUSDT,SELECTIVE_BREAKOUT_SPLIT,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,LOWER_FRICTION_SENSITIVITY
SOLUSDT,CURRENT_IMPROVED_SPLIT,300000.0,293609.2919798923,-6390.708020107704,-2.1302360067025683,22,5,17,22.727272727272727,0.4481229878390152,1037.8483282583552,-681.1735094940934,-290.4867281867187,-2.3445138704226927,6,1737.2306508096387,1447.69140756139,"{'trades': 16, 'win_rate_pct': 25.0, 'net_pnl_krw': -4438.58895881072}","{'trades': 6, 'win_rate_pct': 16.666666666666664, 'net_pnl_krw': -1952.1190612970925}","{1: 19, 2: 3}","{'STOP': 21, 'TP3_4.0R': 1}","['2026-06-21', '2026-06-22', '2026-06-26', '2026-06-28', '2026-07-01', '2026-07-06', '2026-07-07', '2026-07-13', '2026-07-16', '2026-07-21', '2026-07-22', '2026-07-25']",False,LOWER_FRICTION_SENSITIVITY
SOLUSDT,SELECTIVE_BREAKOUT_SPLIT,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,LOWER_FRICTION_SENSITIVITY
XRPUSDT,CURRENT_IMPROVED_SPLIT,300000.0,301852.933608935,1852.9336089349817,0.6176445363116567,16,10,6,62.5,1.3981800342336483,650.6440690226342,-775.5845135485437,115.80835055844246,-0.6577058858516754,2,1257.8960972045472,1048.2477874396961,"{'trades': 7, 'win_rate_pct': 57.14285714285714, 'net_pnl_krw': -755.7187739882118}","{'trades': 9, 'win_rate_pct': 66.66666666666666, 'net_pnl_krw': 2608.652382923291}","{2: 2, 1: 14}","{'STOP': 15, 'TP3_4.0R': 1}",['2026-06-28'],False,LOWER_FRICTION_SENSITIVITY
XRPUSDT,SELECTIVE_BREAKOUT_SPLIT,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,LOWER_FRICTION_SENSITIVITY
DOGEUSDT,CURRENT_IMPROVED_SPLIT,300000.0,295704.0792144859,-4295.920785514114,-1.4319735951713763,15,4,11,26.666666666666668,0.414968960524212,761.7859833798286,-667.5513380939476,-286.3947190342739,-1.6030294414426964,4,1243.831253719077,1036.5255408747898,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 15, 'win_rate_pct': 26.666666666666668, 'net_pnl_krw': -4295.920785514109}","{2: 3, 1: 12}","{'STOP': 14, 'TP3_4.0R': 1}","['2026-06-20', '2026-06-23', '2026-07-08', '2026-07-09', '2026-07-13', '2026-07-24']",False,LOWER_FRICTION_SENSITIVITY
DOGEUSDT,SELECTIVE_BREAKOUT_SPLIT,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,LOWER_FRICTION_SENSITIVITY
