symbol,strategy,direction,regime,opened_at,closed_at,signal_score,entry_stages_filled,planned_capital_krw,used_capital_krw,total_notional_krw,average_entry,net_pnl_krw,gross_pnl_krw,fees_krw,slippage_krw,return_on_used_capital_pct,exit_reason,bars_held,cost_scenario
BTCUSDT,CURRENT_IMPROVED_SPLIT,LONG,BULL,2026-06-16 10:00:00+00:00,2026-06-16 13:00:00+00:00,90,1,30000,12000.0,60000.0,66582.02345000001,-538.1777872655068,-394.6513689081966,143.52641835731015,179.4075386480268,-4.484814893879223,STOP,13,CONSERVATIVE
BTCUSDT,CURRENT_IMPROVED_SPLIT,SHORT,BEAR,2026-06-19 12:45:00+00:00,2026-06-19 12:45:00+00:00,85,1,30000,12000.0,60000.0,62386.4797,-530.5546030400492,-386.09129348786377,144.46330955218542,180.57867453683383,-4.421288358667077,STOP,1,CONSERVATIVE
BTCUSDT,CURRENT_IMPROVED_SPLIT,SHORT,BEAR,2026-06-23 19:45:00+00:00,2026-06-23 22:00:00+00:00,85,1,30000,12000.0,60000.0,62181.28795,-700.420992109288,-555.7540872046425,144.66690490464555,180.83278755788763,-5.836841600910733,STOP,10,CONSERVATIVE
BTCUSDT,CURRENT_IMPROVED_SPLIT,SHORT,BEAR,2026-06-30 12:00:00+00:00,2026-06-30 14:00:00+00:00,85,1,30000,12000.0,60000.0,59082.4432,259.50494270793376,403.0213171273809,143.51637441944712,179.39677846502101,2.1625411892327815,STOP,9,CONSERVATIVE
BTCUSDT,CURRENT_IMPROVED_SPLIT,SHORT,BEAR,2026-07-01 10:30:00+00:00,2026-07-01 13:45:00+00:00,85,1,30000,12000.0,60000.0,58631.82015000001,-678.2805848700855,-533.6402166101533,144.6403682599322,180.79966643367368,-5.652338207250712,STOP,14,CONSERVATIVE
BTCUSDT,CURRENT_IMPROVED_SPLIT,LONG,BULL,2026-07-06 19:15:00+00:00,2026-07-06 23:15:00+00:00,90,1,30000,12000.0,60000.0,63812.37520000001,145.53385802697628,289.8817160862798,144.34785805930352,180.43588078872534,1.2127821502248024,STOP,17,CONSERVATIVE
BTCUSDT,CURRENT_IMPROVED_SPLIT,LONG,BULL,2026-07-07 18:45:00+00:00,2026-07-07 19:00:00+00:00,85,1,30000,12000.0,60000.0,64156.090000000004,-737.0905567472707,-593.803120491861,143.28743625540977,179.1083622560551,-6.142421306227256,STOP,2,CONSERVATIVE
BTCUSDT,CURRENT_IMPROVED_SPLIT,LONG,BULL,2026-07-09 21:15:00+00:00,2026-07-10 00:30:00+00:00,95,1,30000,12000.0,60000.0,63380.22795000001,-584.8317678935477,-441.3614015754383,143.47036631810946,179.33736834356458,-4.873598065779564,STOP,14,CONSERVATIVE
BTCUSDT,CURRENT_IMPROVED_SPLIT,LONG,BULL,2026-07-15 07:15:00+00:00,2026-07-15 07:15:00+00:00,100,1,30000,12000.0,60000.0,64941.36615,-583.050467868135,-439.57796142184117,143.47250644629378,179.34004752256016,-4.858753898901124,STOP,1,CONSERVATIVE
BTCUSDT,CURRENT_IMPROVED_SPLIT,LONG,BULL,2026-07-20 01:45:00+00:00,2026-07-20 05:00:00+00:00,90,1,30000,12000.0,60000.0,64832.3028,-678.4676668810968,-535.1097986394641,143.35786824163262,179.19653449719635,-5.65389722400914,STOP,13,CONSERVATIVE
