symbol,strategy,initial_equity_krw,final_equity_krw,net_pnl_krw,return_pct,trades,wins,losses,win_rate_pct,profit_factor,average_win_krw,average_loss_krw,expectancy_per_trade_krw,maximum_drawdown_pct,maximum_consecutive_losses,total_fees_krw,estimated_slippage_krw,long,short,entry_stages_filled,exit_reasons,daily_stop_days,total_stop_triggered,total_funding_pnl_krw,funding_observed,funding_model,fold,fold_start,fold_end
BTCUSDT,MARK_INDEX_LONG_REFERENCE,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,,False,EXCLUDED_UNAVAILABLE_FOR_WINDOW,FOLD_A_OLDEST,2025-11-01T11:00:00+00:00,2025-12-01T02:55:00+00:00
BTCUSDT,PULLBACK_RETEST_40_30_30,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,,False,EXCLUDED_UNAVAILABLE_FOR_WINDOW,FOLD_A_OLDEST,2025-11-01T11:00:00+00:00,2025-12-01T02:55:00+00:00
BTCUSDT,PULLBACK_RETEST_30_30_40,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,,False,EXCLUDED_UNAVAILABLE_FOR_WINDOW,FOLD_A_OLDEST,2025-11-01T11:00:00+00:00,2025-12-01T02:55:00+00:00
BTCUSDT,MARK_INDEX_LONG_REFERENCE,300000.0,297553.9053518707,-2446.0946481293067,-0.8153648827097681,2,0,2,0.0,0.0,0.0,-1223.0473240646666,-1223.0473240646666,-0.9014202961968417,2,393.5369307391317,491.9176519837619,"{'trades': 2, 'win_rate_pct': 0.0, 'net_pnl_krw': -2446.094648129333}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{2: 1, 1: 1}",{'STOP': 2},['2025-12-10'],False,,False,EXCLUDED_UNAVAILABLE_FOR_WINDOW,FOLD_B_MIDDLE,2025-12-01T02:55:00+00:00,2025-12-30T18:50:00+00:00
BTCUSDT,PULLBACK_RETEST_40_30_30,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,,False,EXCLUDED_UNAVAILABLE_FOR_WINDOW,FOLD_B_MIDDLE,2025-12-01T02:55:00+00:00,2025-12-30T18:50:00+00:00
BTCUSDT,PULLBACK_RETEST_30_30_40,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,,False,EXCLUDED_UNAVAILABLE_FOR_WINDOW,FOLD_B_MIDDLE,2025-12-01T02:55:00+00:00,2025-12-30T18:50:00+00:00
BTCUSDT,MARK_INDEX_LONG_REFERENCE,300000.0,298912.96279408736,-1087.0372059126385,-0.36234573530421477,2,0,2,0.0,0.0,0.0,-543.5186029563306,-543.5186029563306,-0.3623457353042128,2,287.0400033569331,358.7990115002384,"{'trades': 2, 'win_rate_pct': 0.0, 'net_pnl_krw': -1087.0372059126612}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{1: 2},{'STOP': 2},['2026-01-15'],False,,False,EXCLUDED_UNAVAILABLE_FOR_WINDOW,FOLD_C_LATEST_IN_WINDOW,2025-12-30T18:50:00+00:00,2026-01-29T10:45:00+00:00
BTCUSDT,PULLBACK_RETEST_40_30_30,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,,False,EXCLUDED_UNAVAILABLE_FOR_WINDOW,FOLD_C_LATEST_IN_WINDOW,2025-12-30T18:50:00+00:00,2026-01-29T10:45:00+00:00
BTCUSDT,PULLBACK_RETEST_30_30_40,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,,False,EXCLUDED_UNAVAILABLE_FOR_WINDOW,FOLD_C_LATEST_IN_WINDOW,2025-12-30T18:50:00+00:00,2026-01-29T10:45:00+00:00
ETHUSDT,MARK_INDEX_LONG_REFERENCE,300000.0,300000.0,0.0,0.0,0,0,0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,"{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}","{'trades': 0, 'win_rate_pct': 0, 'net_pnl_krw': 0}",{},{},[],False,,False,EXCLUDED_UNAVAILABLE_FOR_WINDOW,FOLD_A_OLDEST,2025-11-01T11:00:00+00:00,2025-12-01T02:55:00+00:00
