timeframe,plan,period_start,period_end,bars,initial_equity_krw,final_equity_krw,net_pnl_krw,return_pct,trades,wins,losses,win_rate_pct,profit_factor,average_win_krw,average_loss_krw,expectancy_per_trade_krw,expectancy_r,maximum_drawdown_pct,maximum_consecutive_losses,total_fees_krw,estimated_slippage_krw,approx_pre_cost_pnl_krw,daily_lock_days,total_loss_lock_triggered,symbol_pnl_krw,scope
15m,EXPECTANCY_2R_3R_5R,2025-02-01T13:15:00+00:00,2026-07-26T13:00:00+00:00,51583,300000.0,284581.5729093264,-15418.427090673591,-5.139475696891194,78,24,54,30.76923076923077,0.5913679359994353,929.7242564724424,-698.7372082594845,-197.67214218812236,-0.1317814281254149,-5.229462879745419,13,10956.728359176164,13695.941719654173,9234.242988156746,[],True,"{'BTCUSDT': -5537.143682591849, 'ETHUSDT': -3042.4944001194503, 'SOLUSDT': -4569.912045976466, 'XRPUSDT': -6019.4238697783785, 'DOGEUSDT': 3750.5469077926005}",FULL
15m,BALANCED_1_5R_2_5R_4R,2025-02-01T13:15:00+00:00,2026-07-26T13:00:00+00:00,51583,300000.0,283622.32402351144,-16377.675976488565,-5.459225325496186,52,12,40,23.076923076923077,0.34850058630392194,730.0632919633513,-628.4608870012123,-314.9553072401593,-0.2099702048267728,-5.461816583577191,18,7180.903467716866,8976.13545015094,-220.6370586207595,[],True,"{'BTCUSDT': -5661.104947788126, 'ETHUSDT': -4653.5414987634485, 'SOLUSDT': -697.3277731360324, 'XRPUSDT': -7320.419067779683, 'DOGEUSDT': 1954.7173109790072}",FULL
15m,FIXED_3R_ALL,2025-02-01T13:15:00+00:00,2026-07-26T13:00:00+00:00,51583,300000.0,284720.0766998365,-15279.923300163471,-5.093307766721155,89,21,68,23.595505617977526,0.7097180293192786,1778.9660281184235,-774.091321921328,-171.6845314625102,-0.11445635430834011,-5.549520087544366,12,12733.418607650934,15916.803342735679,13370.298650223142,[],True,"{'BTCUSDT': -6108.558909090086, 'ETHUSDT': -7320.814005259335, 'SOLUSDT': -2903.1965529070585, 'XRPUSDT': -4908.883877300864, 'DOGEUSDT': 5961.530044393937}",FULL
1H,EXPECTANCY_2R_3R_5R,2025-02-01T14:00:00+00:00,2026-07-26T12:00:00+00:00,12895,300000.0,291536.24573617475,-8463.754263825249,-2.821251421275084,24,3,21,12.5,0.2595971341915947,989.1760521446857,-544.3467819171069,-352.6564276593829,-0.23510428510625525,-2.9748411486962745,10,2041.6967618546141,2552.1133490858,-3869.9441528848347,[],False,"{'BTCUSDT': -5871.794843317886, 'ETHUSDT': -1478.4364283897291, 'SOLUSDT': -199.5604054717279, 'XRPUSDT': -120.05165831232688, 'DOGEUSDT': -793.9109283335192}",FULL
1H,BALANCED_1_5R_2_5R_4R,2025-02-01T14:00:00+00:00,2026-07-26T12:00:00+00:00,12895,300000.0,291311.98881551553,-8688.011184484465,-2.896003728161489,24,4,20,16.666666666666664,0.23134304486374835,653.7087018462769,-565.142299593476,-362.00046602018375,-0.24133364401345583,-3.0494753105498744,10,2041.6938722579919,2552.1097316638916,-4094.207580562582,[],False,"{'BTCUSDT': -5456.558713328225, 'ETHUSDT': -1286.3122025970463, 'SOLUSDT': -884.7447273491558, 'XRPUSDT': -266.4846128764633, 'DOGEUSDT': -793.9109283335192}",FULL
1H,FIXED_3R_ALL,2025-02-01T14:00:00+00:00,2026-07-26T12:00:00+00:00,12895,300000.0,289192.1500733651,-10807.849926634924,-3.6026166422116424,24,2,22,8.333333333333332,0.1642089643249655,1061.7162468122024,-587.7855645572386,-450.32708027645185,-0.3002180535176346,-3.754971432230826,10,2038.2908843335579,2547.8496065707122,-6221.709435730655,[],False,"{'BTCUSDT': -7508.935063536002, 'ETHUSDT': -1478.4364283897291, 'SOLUSDT': -602.2564823143272, 'XRPUSDT': -424.31102406126774, 'DOGEUSDT': -793.9109283335192}",FULL
15m,EXPECTANCY_2R_3R_5R,2025-02-01T13:15:00+00:00,2025-07-31T13:00:00+00:00,17194,300000.0,291591.2072004581,-8408.792799541901,-2.8029309331806362,43,12,31,27.906976744186046,0.5902274591365617,1009.3201946502621,-661.9559721079037,-195.55332091957843,-0.13036888061305227,-4.439912758799444,13,5856.046090520603,7320.073622807736,4767.326913786437,[],False,"{'BTCUSDT': -4931.416651776294, 'ETHUSDT': -2942.000352537115, 'SOLUSDT': 721.0583454565871, 'XRPUSDT': -4069.4238697783676, 'DOGEUSDT': 2812.9897290933172}",FOLD_A_OLDEST
15m,EXPECTANCY_2R_3R_5R,2025-07-31T13:15:00+00:00,2026-01-27T13:00:00+00:00,17194,300000.0,295390.3657088683,-4609.63429113169,-1.5365447637105678,32,12,20,37.5,0.6887732021317762,850.1283182946228,-740.5587055333574,-144.0510715978648,-0.09603404773190986,-2.9588730653422823,8,4867.990139103066,6085.007156911403,6343.36300488278,[],False,"{'BTCUSDT': -605.7270308155549, 'ETHUSDT': -100.49404758233555, 'SOLUSDT': -4390.970391433053, 'XRPUSDT': -1950.0000000000111, 'DOGEUSDT': 2437.557178699281}",FOLD_B_MIDDLE
15m,EXPECTANCY_2R_3R_5R,2026-01-27T13:15:00+00:00,2026-07-26T13:00:00+00:00,17195,300000.0,286608.91424168576,-13391.085758314235,-4.463695252771416,29,4,25,13.793103448275861,0.18550320271538376,762.4613455464615,-657.637245620002,-461.76157787290356,-0.30784105191526906,-4.812302060109095,13,3622.0601638827543,4527.565196527266,-5241.460397904215,[],False,"{'BTCUSDT': -2416.1244327738837, 'ETHUSDT': -2838.506101856172, 'SOLUSDT': -3300.000000000001, 'XRPUSDT': -1536.4552236841464, 'DOGEUSDT': -3299.9999999999977}",FOLD_C_LATEST
15m,BALANCED_1_5R_2_5R_4R,2025-02-01T13:15:00+00:00,2025-07-31T13:00:00+00:00,17194,300000.0,287320.6778785879,-12679.322121412086,-4.226440707137358,44,10,34,22.727272727272727,0.39381271046567395,823.7187248410362,-615.1914520535953,-288.16641185026987,-0.19211094123351333,-4.918521328340751,18,6002.924481490928,7503.662983683001,827.2653437618428,[],False,"{'BTCUSDT': -5211.104947788126, 'ETHUSDT': -3329.2339885226042, 'SOLUSDT': 754.7924614732799, 'XRPUSDT': -7320.419067779683, 'DOGEUSDT': 2426.6434212052573}",FOLD_A_OLDEST
