timeframe,plan,symbol,signal_time,opened_at,closed_at,holding_hours,signal_score,entry_stages,initial_entry_fill,average_entry_final,initial_stop_price,initial_r_price,exit_reason,gross_pnl_krw,entry_fees_krw,exit_fees_krw,total_fees_krw,estimated_slippage_krw,net_pnl_krw,net_r,scope
15m,EXPECTANCY_2R_3R_5R,XRPUSDT,2025-02-16T04:00:00+00:00,2025-02-16T04:15:00+00:00,2025-02-16T07:45:00+00:00,3.5,100.0,2,2.7892776500000003,2.7969442382709495,2.7631288406275156,0.030293502633425895,STOP,-765.5438389899916,67.68740680839927,66.76875420161129,134.45616101001056,168.06885694380745,-900.0000000000022,-0.6000000000000014,FULL
15m,EXPECTANCY_2R_3R_5R,ETHUSDT,2025-02-20T13:45:00+00:00,2025-02-20T14:00:00+00:00,2025-02-20T14:45:00+00:00,0.75,100.0,2,2748.726915,2754.7002013855836,2730.8705094489956,21.95271131517802,STOP,-728.4247525862063,86.2246785584498,85.35056885534634,171.57524741379615,214.46790286433435,-900.0000000000025,-0.6000000000000016,FULL
15m,EXPECTANCY_2R_3R_5R,BTCUSDT,2025-02-21T10:00:00+00:00,2025-02-21T10:15:00+00:00,2025-02-21T15:15:00+00:00,5.0,100.0,3,98532.9781,98918.63034011082,98029.85518069418,650.1677020768402,STOP,-1184.5123497206557,135.7421317931167,134.3207169734519,270.0628487665686,337.5766553528889,-1454.5751984872243,-0.9697167989914829,FULL
15m,EXPECTANCY_2R_3R_5R,XRPUSDT,2025-03-06T04:30:00+00:00,2025-03-06T04:45:00+00:00,2025-03-06T12:00:00+00:00,7.25,100.0,3,2.5280864500000004,2.54592272086011,2.495669929287975,0.036160025605957546,STOP,1116.8279798036187,76.32461637608083,77.93114738647404,154.25576376255486,192.82315080092806,962.5722160410639,0.6417148106940427,FULL
15m,EXPECTANCY_2R_3R_5R,XRPUSDT,2025-03-20T13:45:00+00:00,2025-03-20T14:00:00+00:00,2025-03-20T15:00:00+00:00,1.0,100.0,1,2.5051521,2.5051521,2.463768740433515,0.04507901267713521,STOP,-397.46543215659034,26.505763180998787,26.028804662410874,52.53456784340966,65.66746325883202,-450.0,-0.3,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-03-24T07:45:00+00:00,2025-03-24T08:00:00+00:00,2025-03-24T14:15:00+00:00,6.25,100.0,3,139.02823,139.872467113867,137.56432747171158,1.6702490194959978,STOP,1309.124017593971,88.42854093397852,90.2646792613092,178.69322019528772,223.3704705870345,1130.4307973986834,0.7536205315991222,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-03-25T12:30:00+00:00,2025-03-25T12:45:00+00:00,2025-03-25T16:15:00+00:00,3.5,100.0,3,142.75381,143.80356742705047,140.82395038388606,2.141095541689765,STOP,319.393524888668,73.28291200776727,73.8266724978329,147.10958450560017,183.88841393185157,172.28394038306786,0.11485596025537857,FULL
15m,EXPECTANCY_2R_3R_5R,BTCUSDT,2025-03-26T10:15:00+00:00,2025-03-26T10:30:00+00:00,2025-03-26T12:15:00+00:00,1.75,100.0,1,88247.27265000001,88247.27265000001,87748.72623697277,630.1695023827051,STOP,-321.34282177412683,54.0,53.61438861387106,107.61438861387106,134.51756541051645,-428.95721038799786,-0.2859714735919986,FULL
15m,EXPECTANCY_2R_3R_5R,SOLUSDT,2025-04-12T11:00:00+00:00,2025-04-12T11:15:00+00:00,2025-04-12T17:00:00+00:00,5.75,100.0,3,125.09636350000001,125.84420067835049,123.80668246228403,1.4753910614093968,STOP,1399.8816253200648,89.7965504593521,91.74146718587687,181.538017645229,226.9266793604306,1218.3436076748358,0.8122290717832239,FULL
15m,EXPECTANCY_2R_3R_5R,XRPUSDT,2025-04-15T07:30:00+00:00,2025-04-15T07:45:00+00:00,2025-04-15T15:45:00+00:00,8.0,100.0,3,2.1528244,2.1660713547315873,2.1297500007400263,0.026269024261083906,STOP,-1327.0153482015648,87.28853510813977,85.69611669029791,172.98465179843768,216.2283154772281,-1500.0000000000025,-1.0000000000000018,FULL
